Identification                                                         WIND            CEILING     VISIBILITY   TEMP     DEWPT    SLP      RHX 
Name                           USAF   NCDC  Date     HrMn I Type  QCP  Dir Q I Spd   Q Hgt   Q I I Visby  Q I Q Temp   Q Dewpt  Q Slp    Q Rhx 
ISEDOR IVERSON                ,720258,04997,20140501,0008,4,FM-15,    ,350,1,N,  4.1,1,00335,1,9,N,016093,1,9,9,   4.0,1,   2.0,1,9999.9,9, 87,
ISEDOR IVERSON                ,720258,04997,20140501,0028,4,FM-15,    ,360,1,N,  4.1,1,00427,1,9,N,016093,1,9,9,   4.0,1,   3.0,1,9999.9,9, 93,
ISEDOR IVERSON                ,720258,04997,20140501,0048,4,FM-15,    ,350,1,N,  5.1,1,00488,1,9,N,016093,1,9,9,   4.0,1,   2.0,1,9999.9,9, 87,
ISEDOR IVERSON                ,720258,04997,20140501,0108,4,FM-15,    ,360,1,N,  3.1,1,00488,1,9,N,016093,1,9,9,   4.0,1,   2.0,1,9999.9,9, 87,
ISEDOR IVERSON                ,720258,04997,20140501,0128,4,FM-15,    ,350,1,N,  3.1,1,00366,1,9,N,016093,1,9,9,   4.0,1,   3.0,1,9999.9,9, 93,
ISEDOR IVERSON                ,720258,04997,20140501,0148,4,FM-15,    ,350,1,N,  3.6,1,00274,1,9,N,008047,1,9,9,   3.0,1,   2.0,1,9999.9,9, 93,
ISEDOR IVERSON                ,720258,04997,20140501,0208,4,FM-15,    ,340,1,N,  5.7,1,00213,1,9,N,016093,1,9,9,   3.0,1,   2.0,1,9999.9,9, 93,
ISEDOR IVERSON                ,720258,04997,20140501,0228,4,FM-15,    ,350,1,N,  5.1,1,00213,1,9,N,011265,1,9,9,   3.0,1,   2.0,1,9999.9,9, 93,
ISEDOR IVERSON                ,720258,04997,20140501,0248,4,FM-15,    ,340,1,N,  4.1,1,00274,1,9,N,011265,1,9,9,   3.0,1,   2.0,1,9999.9,9, 93,
ISEDOR IVERSON                ,720258,04997,20140501,0309,4,FM-15,    ,340,1,N,  5.1,1,00244,1,9,N,011265,1,9,9,   3.0,1,   2.0,1,9999.9,9, 93,
